  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT     GCT   
  0.00 100.00   6.00  19.43  95.50  94.34    147    6.615     7    3.435   10.050
  0.00 100.00  37.85  19.43  95.50  94.34    147    6.615     7    3.435   10.050
  0.00 100.00  86.56  19.43  95.50  94.34    147    6.615     7    3.435   10.050
 18.54   0.00  33.99  23.17  95.50  94.34    148    6.644     7    3.435   10.079
 18.54   0.00  87.98  23.17  95.50  94.34    148    6.644     7    3.435   10.079
  0.00  43.97  33.99  24.21  95.50  94.34    149    6.669     7    3.435   10.104
  0.00  43.97  87.99  24.21  95.50  94.34    149    6.669     7    3.435   10.104
 55.58   0.00  34.00  27.29  95.50  94.34    150    6.706     7    3.435   10.141
 55.58   0.00  87.99  27.29  95.50  94.34    150    6.706     7    3.435   10.141
  0.00  54.13  30.00  30.38  95.50  94.34    151    6.747     7    3.435   10.182
  0.00  54.13  81.99  30.38  95.50  94.34    151    6.747     7    3.435   10.182
 53.79   0.00  26.00  33.98  95.50  94.34    152    6.790     7    3.435   10.225
 53.79   0.00  80.00  33.98  95.50  94.34    152    6.790     7    3.435   10.225
  0.00  50.52  22.00  37.07  95.50  94.34    153    6.847     7    3.435   10.282
  0.00  50.52  74.00  37.07  95.50  94.34    153    6.847     7    3.435   10.282
 58.43   0.00  14.00  40.20  95.50  94.34    154    6.905     7    3.435   10.340
 58.43   0.00  52.00  40.20  95.50  94.34    154    6.905     7    3.435   10.340
 58.43   0.00  72.70  40.20  95.50  94.34    154    6.905     7    3.435   10.340
  0.00  37.99  22.77  51.21  95.50  94.34    155    6.954     7    3.435   10.389
  0.00  37.99  56.52  51.21  95.50  94.34    155    6.954     7    3.435   10.389
 47.17   0.00   1.99  53.36  95.51  94.34    156    6.980     7    3.435   10.415
 47.17   0.00  55.74  53.36  95.51  94.34    156    6.980     7    3.435   10.415
  0.00  61.78   0.00  55.85  95.51  94.34    157    7.016     7    3.435   10.451
  0.00  61.78  49.85  55.85  95.51  94.34    157    7.016     7    3.435   10.451
  4.26  61.78 100.00  56.09  95.51  94.34    158    7.016     7    3.435   10.451
 64.77   0.00  43.91  59.32  95.51  94.34    158    7.057     7    3.435   10.492
 64.77   0.00  95.81  59.32  95.51  94.34    158    7.057     7    3.435   10.492
  0.00  71.22  37.95  62.54  95.51  94.34    159    7.102     7    3.435   10.537
  0.00  71.22  89.88  62.54  95.51  94.34    159    7.102     7    3.435   10.537
 66.33   0.00  31.97  66.27  95.51  94.34    160    7.147     7    3.435   10.582
 66.33   0.00  83.93  66.27  95.51  94.34    160    7.147     7    3.435   10.582
  0.00  64.34  21.99  69.48  95.51  94.34    161    7.206     7    3.435   10.641
  0.00  64.34  68.63  69.48  95.51  94.34    161    7.206     7    3.435   10.641
  0.00  64.34  88.99  69.48  95.51  94.34    161    7.206     7    3.435   10.641
