
 num     #instances         #bytes  class name
 372:             1             16  [Lsun.reflect.generics.tree.TypeSignature;
 373:             1             16  java.io.FileDescriptor$1
 374:             1             16  java.lang.CharacterDataLatin1
 375:             1             16  java.lang.ClassValue$Identity
 376:             1             16  java.lang.ProcessEnvironment$EntryComparator
 377:             1             16  java.lang.ProcessEnvironment$NameComparator
 378:             1             16  java.lang.Runtime
 379:             1             16  java.lang.String$CaseInsensitiveComparator
 380:             1             16  java.lang.System$2
 381:             1             16  java.lang.Terminator$1
 382:             1             16  java.lang.invoke.MemberName$Factory
 383:             1             16  java.lang.invoke.MethodHandleImpl$2
 384:             1             16  java.lang.invoke.MethodHandleImpl$3
 385:             1             16  java.lang.ref.Reference$1
 386:             1             16  java.lang.ref.Reference$Lock
 387:             1             16  java.lang.reflect.Proxy$KeyFactory
 388:             1             16  java.lang.reflect.Proxy$ProxyClassFactory
 389:             1             16  java.lang.reflect.ReflectAccess
 390:             1             16  java.net.InetAddress$2
 391:             1             16  java.net.URLClassLoader$7
 392:             1             16  java.nio.Bits$1
 393:             1             16  java.nio.charset.CoderResult$1
 394:             1             16  java.nio.charset.CoderResult$2
 395:             1             16  java.security.ProtectionDomain$2
 396:             1             16  java.security.ProtectionDomain$JavaSecurityAccessImpl
 397:             1             16  java.text.DontCareFieldPosition$1
 398:             1             16  java.util.Collections$EmptyEnumeration
 399:             1             16  java.util.Collections$EmptyIterator
 400:             1             16  java.util.Collections$EmptyList
 401:             1             16  java.util.Collections$EmptySet
 402:             1             16  java.util.Collections$UnmodifiableSet
 403:             1             16  java.util.Currency$CurrencyNameGetter
 404:             1             16  java.util.HashMap$EntrySet
 405:             1             16  java.util.Hashtable$EntrySet
 406:             1             16  java.util.ResourceBundle$Control
 407:             1             16  java.util.WeakHashMap$KeySet
 408:             1             16  java.util.concurrent.atomic.AtomicBoolean
 409:             1             16  java.util.jar.JavaUtilJarAccessImpl
 410:             1             16  java.util.regex.Pattern$4
 411:             1             16  java.util.regex.Pattern$LastNode
 412:             1             16  java.util.regex.Pattern$Node
 413:             1             16  java.util.zip.ZipFile$1
 414:             1             16  org.apache.log4j.DefaultCategoryFactory
 415:             1             16  org.apache.log4j.helpers.AppenderAttachableImpl
 416:             1             16  org.apache.log4j.or.DefaultRenderer
 417:             1             16  org.apache.log4j.or.RendererMap
 418:             1             16  org.apache.log4j.spi.DefaultRepositorySelector
 419:             1             16  state.Open
 420:             1             16  sun.misc.ASCIICaseInsensitiveComparator
 421:             1             16  sun.misc.FloatingDecimal$1
 422:             1             16  sun.misc.Launcher
 423:             1             16  sun.misc.Launcher$Factory
 424:             1             16  sun.misc.Perf
 425:             1             16  sun.misc.Unsafe
 426:             1             16  sun.net.spi.DefaultProxySelector
 427:             1             16  sun.net.www.protocol.file.Handler
 428:             1             16  sun.reflect.GeneratedMethodAccessor1
 429:             1             16  sun.reflect.ReflectionFactory
 430:             1             16  sun.reflect.generics.tree.BottomSignature
 431:             1             16  sun.security.util.AlgorithmDecomposer
 432:             1             16  sun.security.util.DisabledAlgorithmConstraints$Constraints
 433:             1             16  sun.util.calendar.Gregorian
 434:             1             16  sun.util.locale.provider.AuxLocaleProviderAdapter$NullProvider
 435:             1             16  sun.util.locale.provider.CalendarDataUtility$CalendarWeekParameterGetter
 436:             1             16  sun.util.locale.provider.SPILocaleProviderAdapter
 437:             1             16  sun.util.resources.LocaleData
 438:             1             16  sun.util.resources.LocaleData$LocaleDataResourceBundleControl
Total      15081644      915398568
